,type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates,elevation
10,Feature,pr2020001290,3.07,"81km NE of Punta Cana, Dominican Republic",1577921506290,1580824804405,-300,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001290,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001290&format=geojson,,,,,reviewed,0,145,pr,2020001290,",pr2020001290,",",pr,",",geoserve,origin,phase-data,",9.0,0.6662,0.32,320.0,md,earthquake,"M 3.1 - 81km NE of Punta Cana, Dominican Republic",Point,"[-67.758, 18.9895, 24]",0
11,Feature,ak02021em82,1.2,"75km S of Kobuk, Alaska",1577921379540,1578698463070,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak02021em82,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02021em82&format=geojson,,,,,reviewed,0,22,ak,02021em82,",ak02021em82,",",ak,",",geoserve,origin,phase-data,",,,0.63,,ml,earthquake,"M 1.2 - 75km S of Kobuk, Alaska",Point,"[-157.1571, 66.2404, 6.7]",523
12,Feature,pr2020001289,2.54,"5km S of Guanica, Puerto Rico",1577921273350,1580824788557,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001289,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001289&format=geojson,,,,,reviewed,0,99,pr,2020001289,",pr2020001289,",",pr,",",geoserve,origin,phase-data,",12.0,0.0614,0.12,224.0,md,earthquake,"M 2.5 - 5km S of Guanica, Puerto Rico",Point,"[-66.9116, 17.923, 7]",0
13,Feature,ci39020295,0.84,"8km E of Coso Junction, CA",1577921022190,1577975013669,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020295,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020295&format=geojson,,,,,reviewed,0,11,ci,39020295,",ci39020295,",",ci,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",8.0,0.04322,0.1,157.0,ml,earthquake,"M 0.8 - 8km E of Coso Junction, CA",Point,"[-117.8646667, 36.0456667, 2.2]",1696
14,Feature,pr2020001288,2.03,"4km S of Guanica, Puerto Rico",1577920970120,1580824772645,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001288,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001288&format=geojson,,,,,reviewed,0,63,pr,2020001288,",pr2020001288,",",pr,",",geoserve,origin,phase-data,",5.0,0.0475,0.06,256.0,md,earthquake,"M 2.0 - 4km S of Guanica, Puerto Rico",Point,"[-66.9036, 17.9343, 7]",0
15,Feature,pr2020001287,1.42,"8km SSE of Guanica, Puerto Rico",1577920863970,1580824750845,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001287,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001287&format=geojson,,,,,reviewed,0,31,pr,2020001287,",pr2020001287,",",pr,",",geoserve,origin,phase-data,",4.0,0.0793,0.04,295.0,md,earthquake,"M 1.4 - 8km SSE of Guanica, Puerto Rico",Point,"[-66.8788, 17.8958, 6]",0
16,Feature,pr2020001286,1.56,"14km S of Guanica, Puerto Rico",1577920836900,1580824730130,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001286,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001286&format=geojson,,,,,reviewed,0,37,pr,2020001286,",pr2020001286,",",pr,",",geoserve,origin,phase-data,",4.0,0.1455,0.38,296.0,md,earthquake,"M 1.6 - 14km S of Guanica, Puerto Rico",Point,"[-66.9301, 17.8388, 16]",0
17,Feature,ak02021c8dx,1.8,"61km ESE of Whittier, Alaska",1577920707346,1578698314747,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak02021c8dx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02021c8dx&format=geojson,,,,,reviewed,0,50,ak,02021c8dx,",ak02021c8dx,",",ak,",",geoserve,origin,phase-data,",,,0.6,,ml,earthquake,"M 1.8 - 61km ESE of Whittier, Alaska",Point,"[-147.6652, 60.5369, 19.5]",5
18,Feature,pr2020001285,2.01,"10km SSE of Guanica, Puerto Rico",1577920679790,1580824707677,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001285,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001285&format=geojson,,,,,reviewed,0,62,pr,2020001285,",pr2020001285,",",pr,",",geoserve,origin,phase-data,",4.0,0.0957,0.32,304.0,md,earthquake,"M 2.0 - 10km SSE of Guanica, Puerto Rico",Point,"[-66.8705, 17.8798, 4]",0
19,Feature,nc73322346,1.55,"5km NE of Fairview, CA",1577920558820,1578362584784,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322346,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322346&format=geojson,,,,,reviewed,0,37,nc,73322346,",nc73322346,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",23.0,0.05108,0.09,87.0,md,earthquake,"M 1.6 - 5km NE of Fairview, CA",Point,"[-121.9976667, 37.7075, 6.47]",182
20,Feature,pr2020001284,2.9,"5km SSE of Guanica, Puerto Rico",1577920522830,1580824644621,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001284,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001284&format=geojson,,,,,reviewed,0,129,pr,2020001284,",pr2020001284,",",pr,",",geoserve,origin,phase-data,",13.0,0.0578,0.14,216.0,md,earthquake,"M 2.9 - 5km SSE of Guanica, Puerto Rico",Point,"[-66.8941, 17.9193, 5]",0
21,Feature,us70006tcn,5.0,"199km E of Neiafu, Tonga",1577920374126,1579312938040,-660,https://earthquake.usgs.gov/earthquakes/eventpage/us70006tcn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70006tcn&format=geojson,,,,,reviewed,0,385,us,70006tcn,",us70006tcn,",",us,",",geoserve,origin,phase-data,",,2.071,1.1,74.0,mb,earthquake,"M 5.0 - 199km E of Neiafu, Tonga",Point,"[-172.0991, -18.8187, 10]",-1
22,Feature,nc73322331,0.56,"6km WNW of Cobb, CA",1577920366030,1577927763192,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322331,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322331&format=geojson,,,,,automatic,0,5,nc,73322331,",nc73322331,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",6.0,0.005868,0.02,110.0,md,earthquake,"M 0.6 - 6km WNW of Cobb, CA",Point,"[-122.7828369, 38.8381653, 1.39]",364
23,Feature,ci39020287,1.62,"19km NNE of Ridgecrest, CA",1577920279870,1577975062830,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020287,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020287&format=geojson,,,,,reviewed,0,40,ci,39020287,",ci39020287,",",ci,",",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",27.0,0.03394,0.16,56.0,ml,earthquake,"M 1.6 - 19km NNE of Ridgecrest, CA",Point,"[-117.6198333, 35.787, 8.67]",1309
24,Feature,pr2020001283,1.62,"6km S of Guanica, Puerto Rico",1577920224150,1578338183816,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001283,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001283&format=geojson,,,,,reviewed,0,40,pr,2020001283,",pr2020001283,",",pr,",",geoserve,origin,phase-data,",5.0,0.0656,0.2,272.0,md,earthquake,"M 1.6 - 6km S of Guanica, Puerto Rico",Point,"[-66.9045, 17.9146, 7]",0
25,Feature,nc73322326,1.9,"5km W of Dublin, CA",1577920192620,1578713162811,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322326,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322326&format=geojson,1.0,2.2,,,reviewed,0,56,nc,73322326,",nc73322326,",",nc,",",dyfi,focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",49.0,0.05053,0.11,67.0,md,earthquake,"M 1.9 - 5km W of Dublin, CA",Point,"[-121.997, 37.7096667, 5.99]",183
26,Feature,mb80376894,1.09,"34km S of Virginia City, Montana",1577920043810,1577978235380,-420,https://earthquake.usgs.gov/earthquakes/eventpage/mb80376894,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80376894&format=geojson,,,,,reviewed,0,18,mb,80376894,",mb80376894,",",mb,",",geoserve,origin,phase-data,",12.0,0.256,0.09,90.0,ml,earthquake,"M 1.1 - 34km S of Virginia City, Montana",Point,"[-111.9446667, 44.9863333, 4.88]",2101
27,Feature,ak020219u18,2.2,"37km WSW of Cantwell, Alaska",1577920027837,1580959909040,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak020219u18,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020219u18&format=geojson,,,,,reviewed,0,74,ak,020219u18,",ak020219u18,us70006tbv,",",ak,us,",",geoserve,origin,phase-data,",,,0.45,,ml,earthquake,"M 2.2 - 37km WSW of Cantwell, Alaska",Point,"[-149.6939, 63.3028, 92.2]",1156
28,Feature,ci39020279,0.87,"14km ENE of Ridgecrest, CA",1577919889950,1578613436824,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020279,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020279&format=geojson,,,,,reviewed,0,12,ci,39020279,",ci39020279,",",ci,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",23.0,0.06166,0.16,61.0,ml,earthquake,"M 0.9 - 14km ENE of Ridgecrest, CA",Point,"[-117.5383333, 35.6785, 5.79]",1144
29,Feature,nc73322321,1.42,"2km NW of The Geysers, CA",1577919885220,1578708843005,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322321,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322321&format=geojson,,,,,reviewed,0,31,nc,73322321,",nc73322321,",",nc,",",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",42.0,0.01419,0.05,82.0,md,earthquake,"M 1.4 - 2km NW of The Geysers, CA",Point,"[-122.7716667, 38.7868333, 3.81]",345
30,Feature,pr2020001282,2.38,"3km S of Guanica, Puerto Rico",1577919825600,1578338115432,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001282,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001282&format=geojson,,,,,reviewed,0,87,pr,2020001282,",pr2020001282,",",pr,",",geoserve,origin,phase-data,",11.0,0.051,0.18,216.0,md,earthquake,"M 2.4 - 3km S of Guanica, Puerto Rico",Point,"[-66.912, 17.936, 7]",0
31,Feature,mb80376959,0.0,"29km E of Polson, Montana",1577919072560,1577980543940,-420,https://earthquake.usgs.gov/earthquakes/eventpage/mb80376959,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80376959&format=geojson,,,,,reviewed,0,0,mb,80376959,",mb80376959,",",mb,",",geoserve,origin,phase-data,",3.0,0.341,0.08,286.0,md,earthquake,"M 0.0 - 29km E of Polson, Montana",Point,"[-113.7771667, 47.7335, 6.1]",1831
32,Feature,ak02020xltw,1.3,"4km S of Big Lake, Alaska",1577919002920,1578698462101,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak02020xltw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02020xltw&format=geojson,,,,,reviewed,0,26,ak,02020xltw,",ak02020xltw,",",ak,",",geoserve,origin,phase-data,",,,0.55,,ml,earthquake,"M 1.3 - 4km S of Big Lake, Alaska",Point,"[-149.9557, 61.4771, 39.5]",64
33,Feature,us700070tk,4.4,"202km E of Neiafu, Tonga",1577918987058,1579310941040,-660,https://earthquake.usgs.gov/earthquakes/eventpage/us700070tk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700070tk&format=geojson,,,,,reviewed,0,298,us,700070tk,",us700070tk,",",us,",",geoserve,origin,phase-data,",,2.108,0.66,103.0,mb,earthquake,"M 4.4 - 202km E of Neiafu, Tonga",Point,"[-172.0708, -18.5072, 10]",-2
34,Feature,nc73322311,1.58,"7km ESE of Coarsegold, CA",1577918714670,1578443702161,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322311,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322311&format=geojson,,,,,reviewed,0,38,nc,73322311,",nc73322311,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",11.0,0.2109,0.08,127.0,md,earthquake,"M 1.6 - 7km ESE of Coarsegold, CA",Point,"[-119.6283333, 37.2295, 21.4]",595
35,Feature,ak02020wdg4,1.2,"70km NNW of Cape Yakataga, Alaska",1577918669130,1578698312628,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak02020wdg4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02020wdg4&format=geojson,,,,,reviewed,0,22,ak,02020wdg4,",ak02020wdg4,",",ak,",",geoserve,origin,phase-data,",,,0.58,,ml,earthquake,"M 1.2 - 70km NNW of Cape Yakataga, Alaska",Point,"[-142.7424, 60.6812, 7.7]",1007
36,Feature,nc73322306,1.35,"22km SE of Burney, CA",1577918407480,1578447123188,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322306,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322306&format=geojson,,,,,reviewed,0,28,nc,73322306,",nc73322306,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",12.0,0.08042,0.06,103.0,md,earthquake,"M 1.4 - 22km SE of Burney, CA",Point,"[-121.4868333, 40.738, 10.57]",1354
37,Feature,ak02020sy4t,1.7,"75km SE of Adak, Alaska",1577917709573,1578698461151,-720,https://earthquake.usgs.gov/earthquakes/eventpage/ak02020sy4t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02020sy4t&format=geojson,,,,,reviewed,0,44,ak,02020sy4t,",ak02020sy4t,",",ak,",",geoserve,origin,phase-data,",,,0.22,,ml,earthquake,"M 1.7 - 75km SE of Adak, Alaska",Point,"[-175.8567, 51.4134, 15]",1
38,Feature,ci39020231,1.27,"12km WNW of Calipatria, CA",1577917556290,1578424037027,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020231&format=geojson,,,,,reviewed,0,25,ci,39020231,",ci39020231,",",ci,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",20.0,0.01707,0.18,52.0,ml,earthquake,"M 1.3 - 12km WNW of Calipatria, CA",Point,"[-115.6343333, 33.1691667, 4.51]",80
39,Feature,pr2020001019,3.24,"83km NW of San Antonio, Puerto Rico",1577917537950,1580959792040,-300,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001019,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001019&format=geojson,,,,,reviewed,0,162,pr,2020001019,",pr2020001019,us70006tbj,",",pr,us,",",geoserve,origin,phase-data,",14.0,0.8669,0.49,323.0,md,earthquake,"M 3.2 - 83km NW of San Antonio, Puerto Rico",Point,"[-67.8605, 19.163, 10]",1
40,Feature,pr2020001277,1.97,"10km SSE of Guanica, Puerto Rico",1577917422310,1578295447188,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001277,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001277&format=geojson,,,,,reviewed,0,60,pr,2020001277,",pr2020001277,",",pr,",",geoserve,origin,phase-data,",3.0,0.0894,0.16,310.0,md,earthquake,"M 2.0 - 10km SSE of Guanica, Puerto Rico",Point,"[-66.8533, 17.8895, 5]",0
41,Feature,ci39020223,1.4,"12km WNW of Calipatria, CA",1577917353270,1578500765283,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020223,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020223&format=geojson,,,,,reviewed,0,30,ci,39020223,",ci39020223,",",ci,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",36.0,0.01748,0.2,30.0,ml,earthquake,"M 1.4 - 12km WNW of Calipatria, CA",Point,"[-115.6325, 33.1671667, 5.32]",79
42,Feature,ci39020215,1.25,"24km N of Ridgecrest, CA",1577917317970,1577917535824,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci39020215,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39020215&format=geojson,,,,,automatic,0,24,ci,39020215,",ci39020215,",",ci,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",21.0,0.06091,0.14,75.0,ml,earthquake,"M 1.3 - 24km N of Ridgecrest, CA",Point,"[-117.6685, 35.8353333, 5.19]",1390
43,Feature,pr2020001276,2.97,"107km NNW of San Antonio, Puerto Rico",1577917217870,1578295404804,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001276,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001276&format=geojson,,,,,reviewed,0,136,pr,2020001276,",pr2020001276,",",pr,",",geoserve,origin,phase-data,",3.0,1.2775,0.03,357.0,md,earthquake,"M 3.0 - 107km NNW of San Antonio, Puerto Rico",Point,"[-67.4851, 19.3893, 58]",2
44,Feature,ak02020r0z0,1.1,"73km S of Kobuk, Alaska",1577917173437,1578705684241,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak02020r0z0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02020r0z0&format=geojson,,,,,reviewed,0,19,ak,02020r0z0,",ak02020r0z0,",",ak,",",geoserve,origin,phase-data,",,,0.5,,ml,earthquake,"M 1.1 - 73km S of Kobuk, Alaska",Point,"[-157.1638, 66.2601, 7.9]",506
45,Feature,pr2020001275,2.0,"8km S of Guanica, Puerto Rico",1577916991540,1578295367325,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001275,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001275&format=geojson,,,,,reviewed,0,62,pr,2020001275,",pr2020001275,",",pr,",",geoserve,origin,phase-data,",4.0,0.0822,0.28,290.0,md,earthquake,"M 2.0 - 8km S of Guanica, Puerto Rico",Point,"[-66.8923, 17.894, 3]",0
46,Feature,pr2020001274,1.4,"5km SSE of Guanica, Puerto Rico",1577916821140,1578295338525,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020001274,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020001274&format=geojson,,,,,reviewed,0,30,pr,2020001274,",pr2020001274,",",pr,",",geoserve,origin,phase-data,",3.0,0.161,0.13,325.0,md,earthquake,"M 1.4 - 5km SSE of Guanica, Puerto Rico",Point,"[-66.8906, 17.9213, 4]",0
47,Feature,uw61565697,0.97,"25km ENE of Kalama, Washington",1577916753170,1577941361520,-480,https://earthquake.usgs.gov/earthquakes/eventpage/uw61565697,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61565697&format=geojson,,,,,reviewed,0,14,uw,61565697,",uw61565697,",",uw,",",geoserve,origin,phase-data,",9.0,,0.09,116.0,ml,earthquake,"M 1.0 - 25km ENE of Kalama, Washington",Point,"[-122.554666666667, 46.1226666666667, 15.43]",638
48,Feature,ak02020o7j4,1.0,"11km NW of North Nenana, Alaska",1577916378962,1578698311680,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak02020o7j4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02020o7j4&format=geojson,,,,,reviewed,0,15,ak,02020o7j4,",ak02020o7j4,",",ak,",",geoserve,origin,phase-data,",,,0.67,,ml,earthquake,"M 1.0 - 11km NW of North Nenana, Alaska",Point,"[-149.2868, 64.6465, 10.7]",116
49,Feature,us70006tb0,4.3,"73km WSW of Abra Pampa, Argentina",1577915983016,1579309960040,-180,https://earthquake.usgs.gov/earthquakes/eventpage/us70006tb0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70006tb0&format=geojson,,,,,reviewed,0,284,us,70006tb0,",us70006tb0,",",us,",",geoserve,origin,phase-data,",,1.672,0.9,50.0,mb,earthquake,"M 4.3 - 73km WSW of Abra Pampa, Argentina",Point,"[-66.3645, -22.9587, 245.75]",4134
50,Feature,hv71313422,1.86,"17km S of Fern Acres, Hawaii",1577915839740,1577916042240,-600,https://earthquake.usgs.gov/earthquakes/eventpage/hv71313422,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71313422&format=geojson,,,,,automatic,0,53,hv,71313422,",hv71313422,",",hv,",",geoserve,origin,phase-data,",45.0,0.04707,0.31,175.0,md,earthquake,"M 1.9 - 17km S of Fern Acres, Hawaii",Point,"[-155.0545044, 19.359333, 4.15]",404
51,Feature,hv71313417,1.72,"2km SE of Pahala, Hawaii",1577915792830,1578089475960,-600,https://earthquake.usgs.gov/earthquakes/eventpage/hv71313417,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71313417&format=geojson,,,,,reviewed,0,46,hv,71313417,",hv71313417,",",hv,",",geoserve,origin,phase-data,",16.0,0.06581,0.1,151.0,md,earthquake,"M 1.7 - 2km SE of Pahala, Hawaii",Point,"[-155.4628333, 19.1918333, 33.96]",549
52,Feature,nc73322281,0.04,"8km E of Mammoth Lakes, CA",1577915292040,1578004682446,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73322281,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73322281&format=geojson,,,,,reviewed,0,0,nc,73322281,",nc73322281,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",7.0,0.00545,0.03,196.0,md,earthquake,"M 0.0 - 8km E of Mammoth Lakes, CA",Point,"[-118.8905, 37.6465, 2.51]",2243
53,Feature,ak02020bjmc,1.1,"169km SE of Tok, Alaska",1577915238087,1578698310666,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ak02020bjmc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02020bjmc&format=geojson,,,,,reviewed,0,19,ak,02020bjmc,",ak02020bjmc,",",ak,",",geoserve,origin,phase-data,",,,0.75,,ml,earthquake,"M 1.1 - 169km SE of Tok, Alaska",Point,"[-140.5864, 62.2848, 15.4]",732
